EA_REGION,BW_ref,Name,de_des_yr,bb_xmax,bb_xmin,bb_ymax,bb_ymin,_zmax,_zmin
SE,11945,Frensham Great Pond,,484978.29471544176,484059.4293944761,140511.87719954364,139860.84257751517,0,0
SE,11950,Sheerness,,592986.550191069,591962.5501917647,175722.43868713453,174753.34746296704,0,0
SE,11975,Minster Leas,,595828.3484971542,594348.4445172865,174994.56403759308,173594.46756346337,0,0
SE,12000,Leysdown,,604298.4664183641,602741.1975730518,171729.93704197183,170399.67253856547,0,0
SE,12100,"West Beach, Whitstable",,611027.8021526625,608151.1770843016,168811.39493696392,165040.39494149014,0,0
SE,12120,Tankerton,,612423.6255898438,611364.8576452835,167741.81373341568,167094.80753037147,0,0
SE,12150,Herne Bay Central,,617965.751404928,615309.6147382883,169146.08128851093,167892.52494210936,0,0
SE,12200,Herne Bay,,620998.999792479,617544.9773007259,169436.68205553293,168074.41253744252,0,0
SE,12300,"Minnis Bay, Birchington",,628888.3457146157,627406.8701522658,170399.63731159084,169111.01653732546,0,0
SE,12350,"West Bay, Westgate",,632298.3691809159,631018.5146151558,171171.0565021932,169768.47615559027,0,0
SE,12400,"St Mildred's Bay, Westgate",,632957.9999257727,632096.7484038584,171416.50822590664,170215.54880340025,0,0
SE,12450,"Westbrook Bay, Margate",,634472.3688669996,633236.3447872968,171633.99975520745,170285.6776583828,0,0
SE,12500,Margate The Bay,,635392.8122198703,634073.9998505302,171977.99983659014,170461.00028294884,0,0
SE,12600,Margate Fulsam Rock,,636102.8685206547,634891.9999248944,172003.83874639124,170960.6696129758,0,0
SE,12630,"Walpole Bay, Margate",,637146.0376538988,635997.99984877,172021.37100073136,171214.88721946813,0,0
SE,12660,"Botany Bay, Broadstairs",,639846.0048222765,638250.5696773306,172433.3789777886,170951.90348579362,0,0
SE,12700,"Joss Bay, Broadstairs",,640470.9998446032,639609.3193114148,170636.32290760987,169856.13758934475,0,0
SE,12750,"Broadstairs, Stone Bay",,640438.9998446647,639714.5128374388,168891.8635196723,167842.94462722354,0,0
SE,12800,"Broadstairs, Viking Bay",,640383.4672798347,639556.7224712279,168044.96708211303,167226.29943787493,0,0
SE,12850,Ramsgate Sands,,639159.4061195925,638464.5889940178,165376.46173174866,164140.79719225317,0,0
SE,12900,Ramsgate Western Undercliffe,,637915.1498859096,633483.3671701681,164682.4466181323,162837.03551883437,0,0
SE,13000,Sandwich Bay,,636412.2582709482,635084.1214949377,159834.74738569185,158296.90480294265,0,0
SE,13100,Deal Castle,,638237.3937218655,633924.4245176651,154788.73247973993,150241.92759579234,0,0
SE,13200,St Margaret`s Bay,,637463.2210115679,636512.4656564174,144934.87408015132,143863.9761771746,0,0
SE,13300,Folkestone,,624765.1381088626,623086.8406820558,136668.51036723144,135504.8907913994,0,0
SE,13400,Sandgate,,619351.276523049,618191.8061770657,135085.31654069386,134579.40184432082,0,0
SE,13500,Hythe,,616548.8686252134,615428.2095142258,134318.8939843364,133619.6033307258,0,0
SE,13600,Dymchurch,,612031.9998688977,609777.9410334704,130889.5725497175,128510.99986279756,0,0
SE,13700,St Mary's Bay (Kent),,610520.9998700283,608737.3964766366,128484.01270202175,126684.99986389093,0,0
SE,13800,Littlestone,,610155.9999351567,608021.3229117291,125558.1806759052,122842.99993309937,0,0
SE,13900,Camber,,597534.902866994,595579.3687806381,119311.59208987094,117462.65053258277,0,0
SE,14000,Winchelsea,,591881.8694498139,590605.6640070174,116024.9260178972,114827.39077359065,0,0
SE,14100,Hastings,,582447.8405965678,581328.9536904367,109424.29286384769,108986.42050421052,0,0
SE,14150,St Leonards,,580248.9968803199,579133.4122857684,108927.77337509766,108558.43251611106,0,0
SE,14200,Bexhill,,574252.6534942267,572973.1265125498,107173.30721856095,106605.74767828546,0,0
SE,14300,Norman`s Bay,,568848.9835470356,567555.2957872851,105850.24694608152,104713.89963430353,0,0
SE,14400,Pevensey Bay,,566224.5994225191,565225.0813327469,104198.12677212991,103190.61023780517,0,0
SE,14500,Eastbourne,,561811.9465797031,560834.5484142946,98745.45859210938,97693.30286130495,0,0
SE,14550,Birling Gap,,555769.1445889622,554680.6562120859,96461.63656768762,95496.66841611452,0,0
SE,14600,Seaford,,548938.4672207264,547241.0367339384,99391.55148335919,97926.20818844996,0,0
SE,14700,Newhaven,2016,545337.6156151835,544571.4362903638,100831.00542172976,99530.82232505828,0,0
SE,14800,Saltdean,,539330.7079950534,537551.8328870991,102176.80732614547,100934.30534378625,0,0
SE,14900,Brighton Kemptown,,533482.9563466841,531159.2168556517,103954.40140309557,103092.44238742813,0,0
SE,14950,Brighton Central,,531399.5548698241,529864.18575049,104271.82891684212,103568.95370783843,0,0
SE,15000,Hove,,529888.4360970054,527935.0602133712,104543.90958151594,103977.40618604049,0,0
SE,15100,Southwick,,524918.1887779199,523499.3381776791,104816.89736619033,104241.83273395337,0,0
SE,15300,"Lancing, Beach Green",,518834.530103975,517431.6021232642,103881.74571098387,103003.02573670447,0,0
SE,15400,Worthing,,514467.60178946704,513379.27888488304,102371.52985218912,101694.35115600377,0,0
SE,15500,Littlehampton,,504550.25857124943,502705.65273800585,101651.35562271066,100755.4813545309,0,0
SE,15600,Middleton-on-sea,,499232.49061295897,497883.5076844929,100184.1351147499,99670.11021020077,0,0
SE,15650,Felpham,,495614.8870603582,494462.30295903515,99653.32630886137,99050.1452212315,0,0
SE,15680,Bognor Regis East,,494851.29718019627,493381.00961106084,99644.00454811193,98483.12678322382,0,0
SE,15700,Bognor Regis (Aldwick),,492942.9930926878,491585.9485402871,98993.69802241214,98174.09664423205,0,0
SE,15800,Pagham,,489703.22203175165,488702.5647298787,97652.77671528049,96704.18909721263,0,0
SE,15900,Selsey,,487321.7978401501,486477.88491597306,94175.853756845,93150.3781935256,0,0
SE,16000,Bracklesham Bay,,481728.2287584832,478273.9999530157,97289.66651162133,95172.9998828508,0,0
SE,16100,West Wittering,,478157.2025457127,475653.5502730878,98700.12087199464,96871.35682846978,0,0
SE,16300,Eastoke,,473234.33326483425,472214.20389481075,99003.54797053151,98126.0692595914,0,0
SE,16350,Beachlands Central,,472151.836119527,470619.23887076415,99233.16868737154,98429.36862695217,0,0
SE,16400,Beachlands West,,470739.6073922878,469904.83460262977,99347.97898606583,98274.99988098629,0,0
SE,16500,Eastney,,468605.5930907428,466288.57614034787,99270.80455510877,97956.9999405928,0,0
SE,16600,Southsea East,,466494.9999800436,464451.3454145398,98667.31792951003,97857.99994062074,0,0
SE,16700,Stokes Bay,,460375.5798108047,458382.8010548558,98946.142940633,97494.61273568124,0,0
SE,16800,Lee-on-Solent,,456691.00000000093,455579.00000000093,101110,99638.00000000186,0,0
SE,16850,Hillhead,,455457,452468,102605.00000000186,101015.00000000186,0,0
SE,16900,Calshot,,448633.342655845,447469.2286364464,101692.66049384512,100699.08577784151,0,0
SE,17000,Lepe,,446084.6882702075,444976.8057557931,98676.2961908523,98245.10802435875,0,0
SE,17100,Milford-on-sea,,429003.37715940643,427470.18016127497,91904.62577595748,91236.56631372869,0,0
SE,17200,Christchurch Bay,,425400.4572338583,423528.28273859806,93146.73536738567,92413.14862638712,0,0
SE,17300,Highcliffe,,422151.2211265741,421055.84813653026,93311.02823125385,92938.39893199503,0,0
SE,17400,Compton Bay,,438312.50105378684,437267.5461550737,84567.03359964117,83579.0169789847,0,0
SE,17500,Totland Bay,,432476.87962830067,431883.02938896976,87620.92954193242,86561.88115772605,0,0
SE,17600,Colwell Bay,,433169.5350116519,432447.3966275798,88664.09024302289,87746.32188590989,0,0
SE,17700,Gurnard,,448030.4558431767,446922.20726100914,96425.01426843926,95268.55913738348,0,0
SE,17800,Cowes,,449239.1394383302,448251.83435660135,96820.1070933491,96432.22008971311,0,0
SE,17900,Ryde,,462199.22382988594,458957.20022518095,93767.11326082796,91882.84828158654,0,0
SE,18000,Seagrove,,463559.333595613,462843.2889294913,91737.79378832318,90648.5702804178,0,0
SE,18100,St Helens,,464424.4198280629,463081.5213991776,89610.09912233986,88574.38400350884,0,0
SE,18200,Bembridge,,466206.06381024234,465181.8010681784,88573.2610585969,87559.82374321856,0,0
SE,18300,Whitecliff Bay,,464514.9171439102,463663.13459970895,86553.24610774778,85723.9882593397,0,0
SE,18350,Yaverland,,461885.88227767963,460907.32726282906,85301.8550239373,84678.58208987676,0,0
SE,18400,Sandown,,460634.37958927173,459739.8308921661,84658.05857823789,83871.21981589869,0,0
SE,18500,Shanklin,,459157.9642635193,458316.76755407266,81975.9307149481,80546.98121182993,0,0
SE,18600,Ventnor,,456461.794315394,455386.4558073245,77505.41233130544,76843.9264588207,0,0
SW,18700,Christchurch Highcliffe Castle,,420721.13861155696,419753.2502679033,93036.97484933957,92718.37098208256,0,0
SW,18750,Christchurch Friar`s Cliff,,419802.87380664423,419024.2975953715,92843.28540718555,92304.27110707387,0,0
SW,18800,Christchurch Avon Beach,,419118.41120332666,418596.5084682992,92403.51818455383,91842.25884983316,0,0
SW,18900,Christchurch Mudeford Sandbank East,,418961.3056464093,417827.66445966717,91812.84834734723,90230.02857717685,0,0
SW,19000,Bournemouth Hengistbury West,,416782.5234809648,415705.78200522624,90916.60030372813,90573.43558397889,0,0
SW,19020,Bournemouth Southbourne,,415305.0281525217,414248.515104264,91182.2822835818,90874.63863734901,0,0
SW,19030,Bournemouth Fisherman`s Walk,,413341.193567805,412258.16388195474,91263.92580057867,91107.17150394246,0,0
SW,19060,Bournemouth Boscombe Pier,,411829.22878396045,410531.2174622789,92002.44802023843,90375.48863183707,0,0
SW,19100,Bournemouth Pier,,409474.4876175234,408327.40123326983,90897.8747020308,90080.5756532494,0,0
